velocity:0,velocity:1,velocity:2,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
7.43711,-0.155338,0.0928385,4.66E-12,7.95E-13,-1,-236.25,-787.913,90,0
7.43744,-0.155399,0.0928765,3.92E-13,4.04E-13,-1,-236.662,-787.912,90,1
7.43731,-0.155584,0.0928632,5.79E-09,9.07E-09,-1,-236.25,-787.5,90,2
7.42699,-0.138887,0.0905548,4.66E-12,7.98E-13,-1,-236.25,-817.335,90,3
7.44789,-0.144367,0.0940203,3.90E-13,4.08E-13,-1,-260.59,-811.84,90,4
7.43755,-0.155647,0.0929014,7.83E-13,3.28E-09,-1,-236.665,-787.5,90,5
7.4819,-0.161947,0.101894,7.80E-13,3.28E-09,-1,-310.241,-787.5,90,6
7.39555,-0.132717,0.0825658,1.69E-11,1.01E-11,-1,-157.5,-788.289,90,7
7.39612,-0.132951,0.0826342,5.82E-12,4.29E-12,-1,-158.287,-788.287,90,8
7.39609,-0.133122,0.0826039,1.52E-08,4.16E-08,-1,-157.5,-787.5,90,9
7.36996,-0.108134,0.0793485,1.69E-11,1.01E-11,-1,-157.5,-836.886,90,10
7.40362,-0.12151,0.0848377,4.66E-12,5.45E-12,-1,-199.944,-829.944,90,11
7.3965,-0.133423,0.0826823,9.31E-12,2.64E-08,-1,-158.295,-787.5,90,12
7.3527,-0.0951159,0.0714055,1.35E-11,4.38E-11,-1,-78.75,-788.544,90,13
7.35345,-0.0955628,0.0714973,2.11E-11,2.27E-11,-1,-79.793,-788.543,90,14
7.35357,-0.0954815,0.0714347,1.04E-08,9.76E-08,-1,-78.75,-787.5,90,15
7.31256,-0.0726698,0.0688065,1.35E-11,4.38E-11,-1,-78.75,-847.321,90,16
7.35416,-0.0939962,0.075552,1.69E-11,2.70E-11,-1,-133.131,-841.881,90,17
7.35416,-0.0961054,0.0715496,3.37E-11,8.72E-08,-1,-79.8059,-787.5,90,18
7.30295,-0.0456394,0.0598214,-1.35E-11,7.07E-11,-1,0,-788.635,90,19
7.30383,-0.0462313,0.0599147,1.68E-11,5.39E-11,-1,-1.13433,-788.634,90,20
7.30401,-0.0457798,0.0598195,-1.04E-08,1.18E-07,-1,0,-787.5,90,21
7.25415,-0.0332416,0.0592176,-1.35E-11,7.07E-11,-1,0,-850.574,90,22
7.30059,-0.0610477,0.0661273,1.35E-11,5.73E-11,-1,-60.9992,-848.499,90,23
7.30478,-0.0466381,0.0599487,2.69E-11,1.29E-07,-1,-1.14984,-787.5,90,24
7.24204,0.00955465,0.0487908,-1.69E-11,4.38E-11,-1,78.75,-788.543,90,25
7.24294,0.00897927,0.0488722,-1.68E-11,6.06E-11,-1,77.7065,-788.544,90,26
7.24301,0.00968733,0.0487608,-1.52E-08,7.21E-08,-1,78.75,-787.5,90,27
7.19364,0.00885936,0.0501163,-1.69E-11,4.38E-11,-1,78.75,-847.261,90,28
7.24205,-0.0216681,0.0568648,-1.35E-11,5.73E-11,-1,16.7722,-849.478,90,29
7.24391,0.00883977,0.0488725,-2.69E-11,8.73E-08,-1,77.6917,-787.5,90,30
7.16941,0.0633432,0.039293,-4.65E-12,1.01E-11,-1,157.5,-788.286,90,31
7.17016,0.062935,0.039342,-2.11E-11,3.12E-11,-1,156.713,-788.287,90,32
7.17009,0.0636204,0.0392507,-5.80E-09,2.06E-08,-1,157.5,-787.5,90,33
7.13085,0.0529612,0.0419244,-4.65E-12,1.01E-11,-1,157.5,-836.756,90,34
7.17564,0.0249231,0.0471843,-1.69E-11,2.70E-11,-1,102.137,-842.863,90,35
7.1709,0.0630277,0.0393207,-3.37E-11,2.64E-08,-1,156.702,-787.5,90,36
7.087,0.109126,0.0317992,-3.91E-13,7.98E-13,-1,236.25,-787.909,90,37
7.08742,0.108954,0.0318186,-5.82E-12,6.62E-12,-1,235.84,-787.91,90,38
7.0873,0.109339,0.0317697,-7.88E-10,2.53E-09,-1,236.25,-787.5,90,39
7.06615,0.0980718,0.0340711,-3.90E-13,7.98E-13,-1,236.25,-817.114,90,40
7.09663,0.0801949,0.0372219,-4.66E-12,5.45E-12,-1,199.683,-824.067,90,41
7.08778,0.109095,0.031797,-9.31E-12,3.29E-09,-1,235.835,-787.5,90,42
7.00516,0.140654,0.0275234,-7.79E-13,1.45E-10,-1,309.545,-787.5,90,43
7.60811,-0.218813,0.120535,1.43E-10,3.71E-12,-1,-393.75,-709.371,90,44
7.60872,-0.21869,0.120593,1.86E-12,1.86E-12,-1,-394.368,-709.368,90,45
7.60891,-0.219359,0.120602,6.15E-10,1.04E-09,-1,-393.75,-708.75,90,46
7.57125,-0.183526,0.115365,1.43E-10,3.71E-12,-1,-393.75,-753.47,90,47
7.61254,-0.186688,0.120906,1.85E-12,1.86E-12,-1,-426.187,-741.187,90,48
7.60936,-0.219133,0.120638,3.71E-12,1.93E-11,-1,-394.373,-708.75,90,49
7.66068,-0.195106,0.126143,3.70E-12,2.15E-11,-1,-463.06,-708.75,90,50
7.56723,-0.232529,0.113527,3.14E-09,2.90E-10,-1,-315,-710.156,90,51
7.56826,-0.232473,0.113642,1.79E-10,1.11E-10,-1,-316.4,-710.15,90,52
7.56941,-0.233918,0.113702,1.67E-08,3.38E-08,-1,-315,-708.75,90,53
7.48631,-0.16367,0.102683,3.14E-09,2.90E-10,-1,-315,-786.05,90,54
