,wind_direction,wind_speed,turbulence_intensity,yaw_angles_opt,farm_power_opt,farm_power_baseline
0,0.0,7.815798924408521,0.06,"[  0.      0.      0.      0.      0.    -22.5     0.      0.     24.375
   0.      0.     18.75    0.      0.      0.      0.   ]",21775778.989387266,21261821.90037413
1,5.0,7.815798924408521,0.06,"[  0.     0.     0.     0.     0.     7.5    0.     0.    11.25   0.
   0.     0.   -30.   -22.5    0.     0.  ]",23473645.83971273,22643009.410805933
2,10.0,7.815798924408521,0.06,"[  0.      0.      0.    -15.      0.      0.      0.      0.      0.
   0.    -11.25   -7.5    28.125  15.      0.      0.   ]",23414301.51797732,22509839.90725705
3,15.0,7.815798924408521,0.06,"[  0.      0.      0.     11.25  -15.     24.375   0.      0.      0.
   0.    -24.375 -15.      0.    -11.25    0.      0.   ]",22659760.9340675,21756255.624766037
4,20.0,7.815798924408521,0.06,"[  0.      0.      0.    -11.25  -30.      0.      0.      0.      0.
   0.    -30.    -24.375 -24.375  15.      0.      0.   ]",21346598.355890572,19566328.619997136
5,25.0,7.815798924408521,0.06,"[  0.    0.    0.    7.5 -30.  -22.5   0.    0.    0.    0.  -30.  -22.5
 -30.    0.  -22.5   0. ]",18809308.539004993,17222485.58049285
6,30.0,7.815798924408521,0.06,"[  0.      0.      0.    -15.     30.    -24.375   0.      0.      0.
   0.     30.     22.5    30.    -18.75  -30.      0.   ]",18227238.214139856,16517824.411814824
7,35.0,7.815798924408521,0.06,"[  0.      0.      0.    -22.5    30.    -30.      0.      0.      0.
   0.     18.75   30.     15.    -30.     24.375   0.   ]",19566488.80483382,16525768.68171665
8,40.0,7.815798924408521,0.06,"[  0.     0.     0.    22.5   18.75  15.     0.     0.     0.     0.
   7.5   18.75  11.25 -30.     0.     0.  ]",19398902.16699717,18496690.85295152
9,45.0,7.815798924408521,0.06,"[  0.      0.      0.     28.125   0.      0.      0.      0.      0.
   0.      0.      7.5   -30.     11.25    0.      0.   ]",20186595.41146759,19804497.49465517
10,50.0,7.815798924408521,0.06,"[  0.     0.   -11.25   0.     0.    30.     0.     0.     0.     0.
   0.     0.   -30.     0.     0.    -7.5 ]",20622023.63747845,20274061.01827953
11,55.0,7.815798924408521,0.06,"[  0.      0.    -30.      7.5     0.     24.375   0.      0.      0.
   0.      0.      0.    -22.5    30.      0.     22.5  ]",20614891.336998694,19270459.88443183
12,60.0,7.815798924408521,0.06,"[  0.     0.    30.   -15.     0.   -11.25  -7.5    0.     0.     0.
   0.     0.   -30.    30.     0.     0.  ]",21219384.36535801,20097852.27645875
13,65.0,7.815798924408521,0.06,"[  0.      0.     22.5    11.25    0.     11.25   24.375   0.      0.
   0.      0.    -15.     30.     18.75    0.      0.   ]",21088114.77903805,20146622.35172937
14,70.0,7.815798924408521,0.06,"[  0.      0.      0.    -18.75    0.      0.      0.      0.      0.
   0.      0.     24.375  30.      7.5     0.     -7.5  ]",21869828.572215445,21060652.452324964
15,75.0,7.815798924408521,0.06,"[-22.5     0.    -15.     18.75    0.    -24.375   0.      0.      0.
   0.      0.     15.     28.125   0.      0.    -24.375]",22010027.71563968,20160420.97806135
16,80.0,7.815798924408521,0.06,"[  7.5   -11.25  -30.      0.      0.     28.125   0.      0.      0.
   0.     -7.5     0.     11.25    0.      0.     30.   ]",21965290.221218824,20704265.85983069
17,85.0,7.815798924408521,0.06,"[  0.     15.      0.      0.      0.      0.      0.      0.      0.
   0.    -24.375   0.      0.    -18.75    0.     18.75 ]",22044803.49338836,21034764.418115824
18,90.0,7.815798924408521,0.06,"[  0.   0.  30.   0.   0. -15. -15. -15.   0.   0.  30.   0.   0.  30.
   0.   0.]",22117466.394942824,20599934.388917457
19,95.0,7.815798924408521,0.06,"[  0.     0.    18.75   0.     0.   -30.   -30.     0.     0.     0.
   0.     0.   -22.5   18.75   0.     0.  ]",22375482.001427125,20860679.918022223
20,100.0,7.815798924408521,0.06,"[  0.    -11.25    0.      0.      0.     24.375  18.75    0.      0.
   0.      0.      0.      0.      0.      0.      0.   ]",23295771.757709898,22442064.939444065
21,105.0,7.815798924408521,0.06,"[-18.75  -22.5   -24.375   0.      0.      0.      0.     -7.5     0.
   0.      0.      0.    -30.      0.      0.    -24.375]",22329946.153056238,20692257.75382296
22,110.0,7.815798924408521,0.06,"[ 18.75 -30.    18.75   0.    -7.5    0.     0.   -18.75   0.     0.
   0.     0.    30.   -18.75   0.   -30.  ]",20648159.170741186,18440662.17094582
23,115.0,7.815798924408521,0.06,"[  0.   -30.     0.     0.   -18.75   0.     0.   -30.     0.     0.
   0.     0.    18.75 -30.     0.    30.  ]",19632458.686626233,17742806.697274916
24,120.0,7.815798924408521,0.06,"[-30.    -18.75    0.      0.     30.      0.    -18.75  -15.      0.
   0.      0.      0.      0.     28.125   0.      7.5  ]",19801514.633651175,18849465.6169277
25,125.0,7.815798924408521,0.06,"[-15.     30.      0.      0.     18.75    0.     30.     28.125   0.
   0.      0.      0.      0.     11.25    0.      0.   ]",20802720.889184434,19490655.475880444
26,130.0,7.815798924408521,0.06,"[15.   30.   -7.5   0.    7.5   0.    0.   11.25  0.    0.    0.    0.
 -7.5   0.    0.    0.  ]",21283576.208173513,20741540.93362744
27,135.0,7.815798924408521,0.06,"[ -7.5    15.    -15.      0.      0.      0.    -18.75    0.      0.
   0.      0.      0.    -24.375   0.      0.    -11.25 ]",21138362.32502138,20225163.401289813
28,140.0,7.815798924408521,0.06,"[-22.5    30.    -24.375   0.      0.      0.    -30.      7.5     0.
   0.      0.      0.    -30.      0.      0.    -22.5  ]",20033794.09483576,18595257.96715268
29,145.0,7.815798924408521,0.06,"[-11.25   0.   -30.     0.     0.     0.   -15.   -18.75   0.     0.
   0.     0.    18.75   0.   -22.5  -30.  ]",19020470.92701441,17471643.498645674
30,150.0,7.815798924408521,0.06,"[ 22.5 -15.   30.    0.    0.    0.   30.   15.    0.    0.    0.    0.
   0.    0.   30.   30. ]",18195530.082907986,17133863.94102361
31,155.0,7.815798924408521,0.06,"[ 15.   -11.25  30.     0.     0.     0.    30.   -15.     0.     0.
   0.     0.     0.     0.    15.    30.  ]",19805079.835284468,18564966.262845136
32,160.0,7.815798924408521,0.06,"[30.    28.125 18.75   0.     0.     0.    30.    15.     0.     0.
  0.     0.     0.     0.     0.    30.   ]",20748232.31852337,18776779.967722956
33,165.0,7.815798924408521,0.06,"[ 15.    0.    0.    0.    0.    0.   22.5 -15.    0.    0.    0.    0.
   0.    0.    0.   30. ]",22327484.20321697,21386346.59541044
34,170.0,7.815798924408521,0.06,"[-15.    -24.375 -18.75    0.      0.      0.     11.25   11.25    0.
   0.      0.      0.      0.      0.      0.     22.5  ]",22727383.326116726,21810776.676228255
35,175.0,7.815798924408521,0.06,"[-30.     0.    18.75   0.     0.     0.     0.     0.     0.   -11.25
   0.     0.     0.     0.     0.     0.  ]",22469452.25743099,22053218.372207597
